,ID,NAME
0,UC6FcYHEm7SO1jpu5TKjNXEA,TGOP 這群人
1,UC7ovu6a8ydIbDy0fAKmoZ9A,相信音樂BinMusic
2,UCPcF3KTqhD67ADkukx_OeDg,滾石唱片 ROCK RECORDS
3,UCPwxSX0DYDMQxCvgfeVDv_g,蔡阿嘎
4,UCStpPtoeQUYII1Jsbl0qf8A,華納音樂 Warner Music Taiwan Official
5,UCnJEWsS5agXCkqIpyHC9Grg,阿神
6,UCeo3JwE3HezUWFdVcehQk9Q,阿滴英文
7,UCCsUQXwhDj4iVlhG4VCq6Kg,華研國際
8,UCIdhd_1spj49unBWx1fjS2A,聖結石Saint
9,UCKUlsqazP-4QmxdEtUPlxOA,杰威爾音樂 JVR Music
10,UC-z9BI8hMHNPrvnccyWgjyg,我愛貓大
11,UCpgt8SEyAy5tbr9BzVK8Lsg,魚乾
12,UCuLKTkYGCXako3wMktwrbkQ,放火 Louis
13,UCSckEwXBJmJEUzIo6NplQ5g,菜喳
14,UCEsinqZjZ11w0T9ZvyKIr6A,福茂唱片
15,UC6VKHP606ee6ffKwKmBHSig,人生肥宅 x尊
16,UCjhwHd3mgmqm0ONm0bXKmng,安啾咪
17,UC3LBFXbWtEBdOOUb8-qJm9Q,眾量級 CROWD
18,UC6yxPVu2b52UVJQEwCTzivQ,老皮
19,UCNMIUvGvW35xL294jqY3cwg,舞秋風
20,UCJWXJTaLqI5KBnJuaXbCaTg,白癡公主
21,UCfMiXMUBXxWiVrcXw2GV92g,噪咖EBCbuzz
22,UC24h-JBUHXT5HXIK_9cWOmQ,小玉
23,UCBgdVDkSsiPBVop4-Ms0ihQ,Stopkiddinstudio
24,UCd91HSXKhsIv8PIjNrDByHQ,林俊傑 JJ Lin
25,UCQU5uVTG8h9LToACKrm1LMA,我愛玩很大
26,UCmdVfsLHu18lCkKYXSOGUxg,中時電子報
27,UCghSH7oEVzV0esSVhGQgQSg,counter656
28,UChX5JaALoA1o80Cc5zkQz_Q,sandy mandy
29,UCizhMTp9vKkpdcbqVLdDmdA,頑GAME
30,UCVw4CvsOUuVJpFyW_VPnIBQ,古娃娃WawaKu
31,UCKQVSNdzGBJSXaUmS4TOWww,關鍵時刻
32,UCgL6J6oL8F69vm-GcPScmwg,巧克力
33,UCkELMMBdy4gPj6ooQwYJ-yg,我愛大熱門
34,UC5l1Yto5oOIgRXlI4p4VKbw,中天電視
35,UC4Aclpo5YyXbKPeiZNO_uiw,DE JuN
36,UC8MQLq2uFUa-HXHCVjHlc-Q,聖嫂 DODO
37,UCyK2vMlUppYxLi2dwuipcqQ,巢哥
38,UCxls4ftUSbEcrDR1zQWIwfA,Hello Catie
39,UCK3Ycl9dcHk0qz8yoN-6phA,the劉沛
40,UCgQ8olRhkepJWlVF9IVmPGQ,UNIVERSAL MUSIC TAIWAN 環球音樂
41,UCRNsHFT7BFoAPBcuAa5sgEQ,Taiwan Bar
42,UCOf3OYchR7r7FjkIhD949rA,大日宗
43,UCxUzQ3wu0oJP_8YLWt71WgQ,HowFun
44,UCIF_gt4BfsWyM_2GOcKXyEQ,啾啾鞋
45,UCPRWWKG0VkBA0Pqa4Jr5j0Q,Joeman
46,UC70PeB5nrFIxbJrpqvBkaMw,翔麟
47,UC7SHHIlKiJs_-ORerKPL1kA,鬼鬼
48,UCAB7g-EUHjuaAliqShDOvNg,小白
49,UCRevYqA7N-NrSCGSm5k-KlA,Jasper 星培
50,UC0Q-fBheHysYWz9ObSEzMdA,超粒方
51,UCqAYPUHgXuzsNlYNIzItfAQ,在不瘋狂就等死 x 狂人娛樂
52,UCIECJyQ6meDyN-UnVHgXAMA,台灣達人秀
53,UCeB5UXWltaHtGoxkwGXLzpg,這群人 展榮展瑞 Keelong and Rays
54,UCflli65jykYa6D0AU8JSuGA,MaoMao TV
55,UCwdLMfWu4X1QpbQJAEGJ1ig,皮老
56,UCQsSb9olGaDXji48WtAUV3Q,JerryFish Yang
57,UCvYrLM80D7-sQLSxIehqLEQ,馬叔叔 UNCLE MA
58,UCR3asjvr_WAaxwJYEDV_Bfw,東森新聞 CH51
59,UCCBq7s8VOCyek275uvq5lYQ,三原慧悟 Sanyuan_JAPAN
60,UCnMlG9P337rFzaJVly5EZDw,黑男
61,UCiMiEL1XRXANaypB2wEdr5w,民視戲劇館
62,UC1tp9qN7mqIJ7CLVNVvsKzg,冏星人
63,UCrre_NCZ69nWUEpi69VurkA,SeanChou Music Channel
64,UCMFYhD8q1axdmdVR30EDExA,觸電網 - 電影情報入口網
65,UCSR9CHNMIg7YoNezbv4bh0A,GINA HELLO!
66,UCWGGwv7agoMmd3BAu4Fv3jQ,NyoNyoTV妞妞TV
67,UCEfetJrzg6OcXWWuX8uhdhw,WACKYBOYS 反骨男孩
68,UC-MByr5LRnWmVN94Ija4XJg,buycartv
69,UCekadoaN7x7g7FlmKg13jWg,Garena 英雄聯盟
70,UCNz2YbRPdGvyBq5qq7iqNwQ,"最愛,國光幫幫忙"
71,UCChByo3iYdAtM54WzptEPkg,星期天
72,UCCqnLewexMM7LwGzqpMpPrA,Garena eSports
73,UCvvRoTz94B_zjDn3tcTGeFQ,墨扇小強
74,UCgDQKFV2rMNzTE8Y3rHMVbQ,黃大謙
75,UCrgy9P9zXErYmq_VPfOshfQ,巧克白
76,UCKngQgSGHd3Hp3nkPs15YSA,LNG 實況存檔
77,UCOTwWD74z-HLTkzsHnkMBgg,UNDER LOVER
78,UCHNssUZfeBCj0DuwqYs9nPQ,阿謙 Kouku
79,UCzlbQkl8zRJW2LTW25oU0-g,謝和弦 R-chord
80,UC0SkNQXPJ60hKEFubOz0fDA,Dinter
81,UC5nwNW4KdC0SzrhF9BXEYOQ,TVBS NEWS
82,UCiWRSesvSYmY7YOyz0tv_zQ,YOYOTV
83,UCctVKh07hVAyQtqpl75pxYA,楊桃美食網
84,UCKGkddRGEejDcNPPqj9-HcQ,遊戲大聯盟
85,UCTRpM-tjQqa_zPN7cm8LqZw,Odd Cactus
86,UCRNsqNFhDF8exJpwQuCOXqw,英雄日常Heroisme
87,UCopwutkKMLyT58fJh3ZqLZA,靠杯星球 Fun Planet
